,Unnamed: 0,Unnamed: 0.1,Title,SKU,Medium,Subject,Publication,url,File
0,0,0,a-lady-cwh,558,Chinese Ink on Paper,Calligraphy,"
A Dialogue With Tradition",https://chenwenhsi.com/wp-content/uploads/2017/08/a-lady-cwh.jpg,resized_chen/a-lady-cwh.jpg
1,1,1,master-of-tradition-revolution-sparrows-4,1653,Chinese Ink on Paper,Sparrow,"
Master of Tradition & Revolution",https://chenwenhsi.com/wp-content/uploads/2018/01/master-of-tradition-revolution-sparrows-4.jpg,resized_chen/master-of-tradition-revolution-sparrows-4.jpg
2,2,2,autumn-scene,664,Chinese Ink on Paper,Calligraphy,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/autumn-scene.jpg,resized_chen/autumn-scene.jpg
3,3,3,master-of-tradition-revolution-abstract,1632,Chinese Ink on Paper,Abstract,"
Master of Tradition & Revolution",https://chenwenhsi.com/wp-content/uploads/2018/01/master-of-tradition-revolution-abstract.jpg,resized_chen/master-of-tradition-revolution-abstract.jpg
4,4,4,master-of-tradition-revolution-abstract-1,1646,Chinese Ink on Paper,Abstract,"
Master of Tradition & Revolution",https://chenwenhsi.com/wp-content/uploads/2018/01/master-of-tradition-revolution-abstract-1.jpg,resized_chen/master-of-tradition-revolution-abstract-1.jpg
5,5,5,master-of-tradition-revolution-abstract-cranes,1633,Chinese Ink on Paper,Abstract,"
Master of Tradition & Revolution",https://chenwenhsi.com/wp-content/uploads/2018/01/master-of-tradition-revolution-abstract-cranes.jpg,resized_chen/master-of-tradition-revolution-abstract-cranes.jpg
6,6,6,master-of-tradition-revolution-landscape-1,1610,Chinese Ink on Paper,Landscape,"
Master of Tradition & Revolution",https://chenwenhsi.com/wp-content/uploads/2018/01/master-of-tradition-revolution-landscape-1.jpg,resized_chen/master-of-tradition-revolution-landscape-1.jpg
7,7,7,master-of-tradition-revolution-gibbon,1573,Chinese Ink on Paper,Gibbon,"
Master of Tradition & Revolution",https://chenwenhsi.com/wp-content/uploads/2018/01/master-of-tradition-revolution-gibbon.jpg,resized_chen/master-of-tradition-revolution-gibbon.jpg
8,8,8,indian-temple-1974,439,Oil on Canvas,Temple,"
Chen Wen Hsi Retrospective 1982",https://chenwenhsi.com/wp-content/uploads/2017/08/indian-temple-1974.jpg,resized_chen/indian-temple-1974.jpg
9,9,9,assembling-chenwenhsi,1058,Chinese Ink on Paper,Heron,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/assembling-chenwenhsi.jpg,resized_chen/assembling-chenwenhsi.jpg
10,10,10,chen-wen-hsi-egret,1180,Chinese Ink on Paper,Heron,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-egret.jpg,resized_chen/chen-wen-hsi-egret.jpg
11,11,11,chen-wen-hsi-assembling-chickens,1441,Chinese Ink on Paper,Chicken,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-assembling-chickens.jpg,resized_chen/chen-wen-hsi-assembling-chickens.jpg
12,12,12,chen-wen-hsi-assembling-ducks,1237,Chinese Ink on Paper,Duck,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-assembling-ducks.jpg,resized_chen/chen-wen-hsi-assembling-ducks.jpg
13,13,13,chen-wen-hsi-ducks-9,1270,Chinese Ink on Paper,Duck,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-ducks-9.jpg,resized_chen/chen-wen-hsi-ducks-9.jpg
14,14,14,chen-wen-hsi-ducks-10,1275,Chinese Ink on Paper,Duck,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-ducks-10.jpg,resized_chen/chen-wen-hsi-ducks-10.jpg
15,15,15,chen-wen-hsi-sparrow-4,1351,Chinese Ink on Paper,Sparrow,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-sparrow-4.jpg,resized_chen/chen-wen-hsi-sparrow-4.jpg
16,16,16,awake-kingfisher,716,Chinese Ink on Paper,Kingfisher,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/awake-kingfisher.jpg,resized_chen/awake-kingfisher.jpg
17,17,17,baby-gibbons,752,Chinese Ink on Paper,Gibbon,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/baby-gibbons.jpg,resized_chen/baby-gibbons.jpg
18,18,18,back-to-nest-chenwenhsi,1093,Chinese Ink on Paper,Sparrow,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/back-to-nest-chenwenhsi.jpg,resized_chen/back-to-nest-chenwenhsi.jpg
19,19,19,chen-wen-hsi-sparrow-3,1326,Chinese Ink on Paper,Bamboo,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-sparrow-3.jpg,resized_chen/chen-wen-hsi-sparrow-3.jpg
20,20,20,bamboo-sparrows,738,Chinese Ink on Paper,Bamboo,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/bamboo-sparrows.jpg,resized_chen/bamboo-sparrows.jpg
21,21,21,bamboo-sunset,736,Chinese Ink on Paper,Bamboo,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/bamboo-sunset.jpg,resized_chen/bamboo-sunset.jpg
22,22,22,bathing-cwh,732,Chinese Ink on Paper,Duck,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/bathing-cwh.jpg,resized_chen/bathing-cwh.jpg
23,23,23,bathing-ducks,1101,Chinese Ink on Paper,Duck,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/bathing-ducks.jpg,resized_chen/bathing-ducks.jpg
24,24,24,chen-wen-hsi-bathing-ducks-1,1381,Chinese Ink on Paper,Duck,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-bathing-ducks-1.jpg,resized_chen/chen-wen-hsi-bathing-ducks-1.jpg
25,25,25,chen-wen-hsi-bathing-ducks-2,1427,Chinese Ink on Paper,Duck,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-bathing-ducks-2.jpg,resized_chen/chen-wen-hsi-bathing-ducks-2.jpg
26,26,26,chen-wen-hsi-bathing-ducks-3,1462,Chinese Ink on Paper,Duck,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-bathing-ducks-3.jpg,resized_chen/chen-wen-hsi-bathing-ducks-3.jpg
