,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Title,SKU,Medium,Subject,Publication,url,File,Category,shanghai_p,paris_p
16,26,26,26,chen-wen-hsi-bathing-ducks-3,1462,Chinese Ink on Paper,Duck,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-bathing-ducks-3.jpg,images/chen-wen-hsi-bathing-ducks-3.jpg,1,0.4811511973202408,0.5188488026797591
74,96,97,97,chickens-chen-wen-hsi,1012,Chinese Ink on Paper,Chicken,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/chickens-chen-wen-hsi.jpg,images/chickens-chen-wen-hsi.jpg,1,0.4700019179862945,0.5299980820137055
109,144,145,145,master-of-tradition-revolution-sparrow-1,1604,Chinese Ink on Paper,Sparrow,"
Master of Tradition & Revolution",https://chenwenhsi.com/wp-content/uploads/2018/01/master-of-tradition-revolution-sparrow-1.jpg,images/master-of-tradition-revolution-sparrow-1.jpg,1,0.4777129722891063,0.5222870277108937
119,162,163,163,chenwenhsi-gibbons,1032,Chinese Ink on Paper,Gibbon,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/chenwenhsi-gibbons.jpg,images/chenwenhsi-gibbons.jpg,1,0.4756986677188266,0.5243013322811733
186,234,240,240,chen-wen-hsi-egrets-4,1262,Chinese Ink on Paper,Heron,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-egrets-4.jpg,images/chen-wen-hsi-egrets-4.jpg,1,0.4840687126722268,0.5159312873277733
187,236,243,243,chen-wen-hsi-herons,1535,Chinese Ink on Paper,Heron,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-herons.jpg,images/chen-wen-hsi-herons.jpg,1,0.4691925425607293,0.5308074574392707
189,238,245,245,herons-flock,760,Chinese Ink on Paper,Heron,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/herons-flock.jpg,images/herons-flock.jpg,1,0.4886421014627006,0.5113578985372994
237,312,321,321,red-cranes-chen-wen-hsi,207,Chinese Ink on Paper,Heron,"
A Dialogue With Tradition",https://chenwenhsi.com/wp-content/uploads/2017/07/red-cranes-chen-wen-hsi.jpg,images/red-cranes-chen-wen-hsi.jpg,1,0.4855125571923045,0.5144874428076954
238,315,324,324,relaxation,734,Chinese Ink on Paper,Heron,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/relaxation.jpg,images/relaxation.jpg,1,0.4668483910396258,0.5331516089603744
240,317,326,326,chen-wen-hsi-egrets-12,1429,Chinese Ink on Paper,Heron,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-egrets-12.jpg,images/chen-wen-hsi-egrets-12.jpg,1,0.4811200599767217,0.5188799400232782
