,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Title,SKU,Medium,Subject,Publication,url,File,Category,shanghai_p,paris_p
20,30,30,30,chen-wen-hsi-bathing-ducks-6,1521,Chinese Ink on Paper,Duck,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-bathing-ducks-6.jpg,images/chen-wen-hsi-bathing-ducks-6.jpg,1,0.3145422914814627,0.6854577085185376
21,31,31,31,chen-wen-hsi-bathing-ducks-7,1525,Chinese Ink on Paper,Duck,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-bathing-ducks-7.jpg,images/chen-wen-hsi-bathing-ducks-7.jpg,1,0.3120701594097507,0.6879298405902492
27,39,39,39,chen-wen-hsi-sparrow-7,1477,Chinese Ink on Paper,Sparrow,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-sparrow-7.jpg,images/chen-wen-hsi-sparrow-7.jpg,1,0.3076033117155746,0.6923966882844254
38,59,59,59,carps-cwh,533,Chinese Ink on Paper,Koi Fish,"
A Dialogue With Tradition",https://chenwenhsi.com/wp-content/uploads/2017/08/carps-cwh.jpg,images/carps-cwh.jpg,1,0.3131811214319629,0.6868188785680371
45,66,66,66,carps-under-vines,1026,Chinese Ink on Paper,Koi Fish,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/carps-under-vines.jpg,images/carps-under-vines.jpg,1,0.3076690997290581,0.6923309002709419
50,72,72,72,chicken-and-sparrows,463,Chinese Ink on Paper,Chicken,"
Chen Wen Hsi Retrospective 1982",https://chenwenhsi.com/wp-content/uploads/2017/08/chicken-and-sparrows.jpg,images/chicken-and-sparrows.jpg,1,0.3120267648569593,0.6879732351430408
53,75,75,75,chickens-5,1024,Chinese Ink on Paper,Chicken,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/chickens-5.jpg,images/chickens-5.jpg,1,0.3043012709116482,0.6956987290883518
62,84,84,84,chen-wen-hsi-chickens-6,1471,Chinese Ink on Paper,Chicken,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-chickens-6.jpg,images/chen-wen-hsi-chickens-6.jpg,1,0.3147179482908215,0.6852820517091783
66,88,89,89,chen-wen-hsi-chicken-1,1238,Chinese Ink on Paper,Chicken,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-chicken-1.jpg,images/chen-wen-hsi-chicken-1.jpg,1,0.3136059018418904,0.6863940981581097
73,95,96,96,chen-wen-hsi-chickens-16,1523,Chinese Ink on Paper,Chicken,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-chickens-16.jpg,images/chen-wen-hsi-chickens-16.jpg,1,0.3105177734542118,0.6894822265457882
