,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Title,SKU,Medium,Subject,Publication,url,File,Category,shanghai_p,paris_p
4,10,10,10,chen-wen-hsi-egret,1180,Chinese Ink on Paper,Heron,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-egret.jpg,images/chen-wen-hsi-egret.jpg,0,0.5317647628060587,0.4682352371939412
13,23,23,23,bathing-ducks,1101,Chinese Ink on Paper,Duck,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/bathing-ducks.jpg,images/bathing-ducks.jpg,0,0.5,0.5
15,25,25,25,chen-wen-hsi-bathing-ducks-2,1427,Chinese Ink on Paper,Duck,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-bathing-ducks-2.jpg,images/chen-wen-hsi-bathing-ducks-2.jpg,0,0.5342360948930741,0.4657639051069256
24,35,35,35,chen-wen-hsi-sparrow-2,1318,Chinese Ink on Paper,Sparrow,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-sparrow-2.jpg,images/chen-wen-hsi-sparrow-2.jpg,0,0.524029155757747,0.4759708442422528
51,73,73,73,chen-wen-hsi-chicken-in-flowers,1212,Chinese Ink on Paper,Chicken,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-chicken-in-flowers.jpg,images/chen-wen-hsi-chicken-in-flowers.jpg,0,0.511678903700682,0.4883210962993181
64,86,86,86,chen-wen-hsi-chickens-8,1475,Chinese Ink on Paper,Chicken,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-chickens-8.jpg,images/chen-wen-hsi-chickens-8.jpg,0,0.526799955509816,0.473200044490184
85,114,115,115,ducks-chenwenhsi,1054,Chinese Ink on Paper,Duck,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/ducks-chenwenhsi.jpg,images/ducks-chenwenhsi.jpg,0,0.5223962082314864,0.4776037917685133
88,117,118,118,master-of-tradition-revolution-ducks-1,1602,Chinese Ink on Paper,Duck,"
Master of Tradition & Revolution",https://chenwenhsi.com/wp-content/uploads/2018/01/master-of-tradition-revolution-ducks-1.jpg,images/master-of-tradition-revolution-ducks-1.jpg,0,0.5,0.5
92,121,122,122,chen-wen-hsi-ducks-4,1235,Chinese Ink on Paper,Duck,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-ducks-4.jpg,images/chen-wen-hsi-ducks-4.jpg,0,0.5375937958506067,0.4624062041493931
96,125,126,126,ducks-chen-wen-hsi-1,521,Chinese Ink on Paper,Duck,"
A Dialogue With Tradition",https://chenwenhsi.com/wp-content/uploads/2017/08/ducks-chen-wen-hsi-1.jpg,images/ducks-chen-wen-hsi-1.jpg,0,0.5258103494686953,0.4741896505313046
