,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Title,SKU,Medium,Subject,Publication,url,File,Category,shanghai_p,paris_p
5,11,11,11,chen-wen-hsi-assembling-chickens,1441,Chinese Ink on Paper,Chicken,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-assembling-chickens.jpg,images/chen-wen-hsi-assembling-chickens.jpg,0,0.6075306877491664,0.3924693122508335
6,12,12,12,chen-wen-hsi-assembling-ducks,1237,Chinese Ink on Paper,Duck,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-assembling-ducks.jpg,images/chen-wen-hsi-assembling-ducks.jpg,0,0.6153833002869473,0.3846166997130527
19,29,29,29,chen-wen-hsi-bathing-ducks,1264,Chinese Ink on Paper,Duck,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-bathing-ducks.jpg,images/chen-wen-hsi-bathing-ducks.jpg,0,0.6116909732555343,0.3883090267444657
44,65,65,65,chen-wen-hsi-carps-6,1361,Chinese Ink on Paper,Koi Fish,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-carps-6.jpg,images/chen-wen-hsi-carps-6.jpg,0,0.6023670226157463,0.3976329773842538
46,68,68,68,chasing-cwh,746,Chinese Ink on Paper,Koi Fish,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/08/chasing-cwh.jpg,images/chasing-cwh.jpg,0,0.6148922528039644,0.3851077471960356
71,93,94,94,chen-wen-hsi-chicken-3,1260,Chinese Ink on Paper,Chicken,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-chicken-3.jpg,images/chen-wen-hsi-chicken-3.jpg,0,0.6023811207504269,0.3976188792495728
78,100,101,101,chickens-sparrows-chenwenhsi-1,1079,Chinese Ink on Paper,Chicken,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/chickens-sparrows-chenwenhsi-1.jpg,images/chickens-sparrows-chenwenhsi-1.jpg,0,0.6151012386098712,0.3848987613901287
89,118,119,119,master-of-tradition-revolution-ducks-2,1618,Chinese Ink on Paper,Duck,"
Master of Tradition & Revolution",https://chenwenhsi.com/wp-content/uploads/2018/01/master-of-tradition-revolution-ducks-2.jpg,images/master-of-tradition-revolution-ducks-2.jpg,0,0.6093999996642805,0.3906000003357195
93,122,123,123,chen-wen-hsi-ducks-5,1248,Chinese Ink on Paper,Duck,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-ducks-5.jpg,images/chen-wen-hsi-ducks-5.jpg,0,0.6160219996558631,0.3839780003441368
98,127,128,128,ducks-by-river-chen-wen-hsi,1103,Chinese Ink on Paper,Duck,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2017/09/ducks-by-river-chen-wen-hsi.jpg,images/ducks-by-river-chen-wen-hsi.jpg,0,0.6057475580479549,0.3942524419520452
116,159,160,160,chen-wen-hsi-gibbon-1,1371,Chinese Ink on Paper,Gibbon,"
Paintings by Chen Wen Hsi",https://chenwenhsi.com/wp-content/uploads/2018/01/chen-wen-hsi-gibbon-1.jpg,images/chen-wen-hsi-gibbon-1.jpg,0,0.6116548425700956,0.3883451574299045
